company_id,fiscal_year,computed_eps,published_eps,eps_rel_error_pct,computed_pe,published_pe,pe_rel_error_pct,check_scope,source_url
cadence,2025,4.074195,4.06,0.350,75.2713,,,historical,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/
cadence,2026,4.836724,4.806,0.639,63.8098,63.8,0.015,forecast,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/
cadence,2027,5.969651,5.886,1.421,52.1016,52.1,0.003,forecast,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/
cadence,2028,7.171569,7.024,2.101,42.7619,,,forecast,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/
synopsys,2024,9.387165,9.25,1.483,44.2828,,,historical,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/
synopsys,2025,7.170967,8.04,10.809,57.9685,,,historical,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/
synopsys,2026,3.908953,3.972,1.587,104.6551,105,0.328,forecast,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/
synopsys,2027,6.898459,7.186,4.001,57.8472,57.9,0.091,forecast,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/
synopsys,2028,10.472925,10.62,1.385,39.6919,,,forecast,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/
lumentum,2024,-8.084320,-8.12,0.439,,,,historical,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/
lumentum,2025,0.373199,0.37,0.865,2332.7510,,,historical,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/
lumentum,2026,-89.138817,-92.96,4.111,,,,forecast,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/
lumentum,2027,21.638796,21.2,2.070,41.0651,41.1,0.085,forecast,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/
lumentum,2028,33.612040,32.2,4.385,27.0366,27,0.136,forecast,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/
smic,2024,0.061772,0.06,2.953,139.0257,,,historical,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/
smic,2025,0.085633,0.08,7.041,100.2865,,,historical,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/
smic,2026,0.157812,0.1674,5.727,51.3014,52,1.344,forecast,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/
smic,2027,0.201032,0.2135,5.840,40.2241,40.8,1.412,forecast,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/
smic,2028,0.258387,0.2676,3.443,33.2364,,,forecast,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/
naura,2024,7.810047,7.826,0.204,85.4924,,,historical,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/
naura,2025,7.623092,7.64,0.221,87.5891,,,historical,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/
naura,2026,10.136574,10.18,0.427,65.5894,65.5,0.136,forecast,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/
naura,2027,15.707831,15.67,0.241,42.6101,42.6,0.024,forecast,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/
naura,2028,20.900138,20.73,0.821,31.9472,,,forecast,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/
samsung-electro-mechanics,2024,8989.106119,8988,0.012,155.7441,,,historical,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/
samsung-electro-mechanics,2025,9346.499530,9345,0.016,149.7887,,,historical,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/
samsung-electro-mechanics,2026,20847.948959,20574,1.332,68.0470,68,0.069,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/
samsung-electro-mechanics,2027,42225.369637,41946,0.666,33.3762,33.4,0.071,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/
samsung-electro-mechanics,2028,64132.262036,64505,0.578,21.8299,,,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/
shin-etsu,2024,260.677901,259.4,0.493,22.4760,,,historical,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/
shin-etsu,2025,269.748038,269.5,0.092,21.7203,,,historical,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/
shin-etsu,2026,255.660032,252.7,1.171,22.9172,,,forecast,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/
shin-etsu,2027,299.200675,302.7,1.156,19.3558,19.4,0.228,forecast,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/
shin-etsu,2028,334.760808,343.7,2.601,17.0468,17.1,0.311,forecast,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/
monolithic-power,2024,36.633866,36.59,0.120,33.2850,,,historical,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/
monolithic-power,2025,12.856159,12.75,0.833,94.8464,,,historical,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/
monolithic-power,2026,22.627841,22.52,0.479,54.1456,54.1,0.084,forecast,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/
monolithic-power,2027,30.482470,30.12,1.203,40.4834,40.5,0.041,forecast,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/
monolithic-power,2028,36.810940,36.23,1.603,33.1249,,,forecast,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/
