company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
nanya-technology,2027,TWD,1,0,96.94,3.0527,33.009,1.0395,0.031491103763,official-fx,official-fx,4.93,11.35,-0.8,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
nanya-technology,2028,TWD,1,0,109.1,3.4357,51.8128,1.6316,0.031491103763,official-fx,official-fx,4.38,6.17,-1.11,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
amec,2027,CNY,1,0,5.712,0.8501,3.226,0.4801,0.148830117116,official-fx,official-fx,61.37,105.64,-1.64,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
amec,2028,CNY,1,0,8.351,1.2429,5.6586,0.8422,0.148830117116,official-fx,official-fx,41.97,59.63,-1.58,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
hoya,2027,JPY,0.246575,0.753425,893.2972,5.7258,766.5134,4.9131,0.006409690414,official-fx,official-fx,27.38,30.14,-1.03,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
hoya,2028,JPY,0.248634,0.751366,1008.8117,6.4662,846.3872,5.4251,0.006409690414,official-fx,official-fx,24.25,27.32,-0.89,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
astera-labs,2027,USD,1,0,4.738,4.738,5.7521,5.7521,1,reported-usd,reported-usd,58.24,44.84,-2.39,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
astera-labs,2028,USD,1,0,6.357,6.357,7.3839,7.3839,1,reported-usd,reported-usd,43.4,33.46,-2.83,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
umc,2027,TWD,1,0,6.97,0.2195,6.3991,0.2015,0.031491103763,official-fx,official-fx,19.01,19.46,-0.61,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
umc,2028,TWD,1,0,7.969,0.251,8.464,0.2665,0.031491103763,official-fx,official-fx,16.63,14.42,-0.69,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
unimicron,2027,TWD,1,0,36.25,1.1416,22.1705,0.6982,0.031491103763,official-fx,official-fx,26.84,41.6,-0.88,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
unimicron,2028,TWD,1,0,57.23,1.8022,20.513,0.646,0.031491103763,official-fx,official-fx,17,43.27,-0.97,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
asm-international,2027,EUR,1,0,31.15,36.1807,26.4383,30.7081,1.1615,official-fx,official-fx,24.75,27.39,-1.09,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
