company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
texas-instruments,2024,December,USD,4799,Million,6973,1498,Million,6016,Million,912217,5.2,published diluted share count,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/,2026-09-03
texas-instruments,2025,December,USD,5001,Million,8022,2603,Million,9167,Million,908623,5.45,published diluted share count,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/,2026-09-03
texas-instruments,2026,December,USD,7813,Million,11833,8245,Million,5828,Million,913248,8.506,published diluted share count,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/,2026-09-03
texas-instruments,2027,December,USD,9206,Million,13814,9797,Million,4983,Million,913248,10.1,published diluted share count,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/,2026-09-03
texas-instruments,2028,December,USD,10412,Million,15051,11813,Million,4164,Million,913248,11.6,published diluted share count,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/,2026-09-03
kla,2024,June,USD,2762,Million,4298,3031,Million,1376,Million,1346400,2.028,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
kla,2025,June,USD,4062,Million,5635,3747,Million,1390,Million,1322414,3.037,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
kla,2026,June,USD,4831,Million,6233,3767,Million,985,Million,1306275,3.66,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
kla,2027,June,USD,7016,Million,8728,6505,Million,2635,Million,1306547,5.395,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
kla,2028,June,USD,8540,Million,10459,7003,Million,663,Million,1306547,6.71,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
kla,2029,June,USD,10130,Million,11929,8581,Million,-165,Million,1306547,8.038,published diluted share count,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/,2026-09-03
